2021-06-28,88
2021-07-05,127
2021-07-12,118
2021-07-19,86
2021-07-26,88
2021-08-02,100
2021-08-09,92
2021-08-16,74
2021-09-06,138
2021-09-13,105
2021-09-20,114
2021-09-27,113
2021-10-04,119
2021-10-11,124
2021-10-18,131
2021-10-25,142
2021-11-01,134
2021-11-08,181
2021-11-15,173
2021-11-22,186
2021-11-29,136
2021-12-06,124
2021-12-13,99
2021-12-20,72
2021-12-27,42
2022-01-03,95
2022-01-10,112
2022-01-17,135
2022-01-24,132
2022-01-31,120
2022-02-07,144
2022-02-14,134
2022-02-21,132
2022-02-28,136
2022-03-07,156
2022-03-14,195
2022-03-21,126
2022-03-28,126
2022-04-04,169
2022-04-11,109
2022-04-18,122
2022-04-25,180
2022-05-02,191
2022-05-09,179
2022-05-16,163
2022-05-23,132
2022-05-30,133
2022-06-06,156
2022-06-13,131
2022-06-20,182
2022-06-27,130
2022-07-04,110
2022-07-11,174
2022-07-18,124
2022-07-25,117
2022-08-01,142
2022-08-08,56
2022-08-15,118
2022-08-22,131
2022-08-29,151
2022-09-05,158
2022-09-12,150
2022-09-19,141
2022-09-26,160
2022-10-03,117
2022-10-10,113
2022-10-17,153
2022-10-24,204
2022-10-31,120
2023-01-02,87
2023-01-09,114
2023-01-16,133
2023-01-23,121
2023-01-30,128
2023-02-06,157
2023-02-13,157
2023-02-20,142
2023-02-27,147
2023-03-06,151
2023-03-13,190
2023-03-20,178
2023-03-27,171
2023-03-29,226
2023-03-30,217
2023-03-31,207
2023-04-01,206
2023-04-02,207
2023-04-03,212
2023-04-04,186
2023-04-05,179
2023-04-06,176
2023-04-07,165
2023-04-08,160
2023-04-09,173
2023-04-10,155
2023-04-11,145
2023-04-12,155
2023-04-13,178
2023-04-14,184
2023-04-15,183
2023-04-16,180
2023-04-17,206
2023-04-18,211
2023-04-19,183
2023-04-20,176
2023-04-21,176
2023-04-22,175
2023-04-23,171
2023-04-24,199
2023-04-25,213
2023-04-26,205
2023-04-27,203
2023-04-28,198
2023-04-29,197
2023-04-30,198
2023-05-01,182
2023-05-02,199
2023-05-03,199
2023-05-04,185
2023-05-05,193
2023-05-06,196
2023-05-07,193
2023-05-08,210
2023-05-09,210
2023-05-10,209
2023-05-11,208
2023-05-12,210
2023-05-13,211
2023-05-14,221
2023-05-15,216
2023-05-16,236
2023-05-17,241
2023-05-18,229
2023-05-19,213
2023-05-20,207
2023-05-21,213
2023-05-22,212
2023-05-23,182
2023-05-24,174
2023-05-25,185
2023-05-26,186
2023-05-27,186
2023-05-28,182
2023-05-29,178
2023-05-30,174
2023-05-31,182
2023-06-01,183
2023-06-02,184
2023-06-07,174
2023-06-08,165
2023-06-09,155
